,timestamp,ent,type
35,2024-06-28,degree,REQUIREMENT
35,2024-06-28,VB.NET,LANG_FRAM
35,2024-06-28,C#,LANG_FRAM
35,2024-06-28,C++,LANG_FRAM
35,2024-06-28,knowledge of computer networking using,H_SKILL
35,2024-06-28,OPC,LANG_FRAM
35,2024-06-28,analytical,S_SKILL
35,2024-06-28,problem,S_SKILL
35,2024-06-28,solving skills,S_SKILL
35,2024-06-28,oral and written communication,S_SKILL
35,2024-06-28,"understanding of scripting/coding, ideally familiar with MatLab",H_SKILL
35,2024-06-28,pipeline/process simulation,H_SKILL
35,2024-06-28,hydraulic analysis,H_SKILL
