,ent,type
755,cloud,LANG_FRAM
756,Office,REQUIREMENT
757,SharePoint,LANG_FRAM
758,Power Platform,LANG_FRAM
759,Microsoft Teams,LANG_FRAM
760,Microsoft 365,LANG_FRAM
761,Microsoft 365,LANG_FRAM
762,"building, designing and testing M365 solutions",H_SKILL
763,OneDrive,LANG_FRAM
764,developing a deep understanding,H_SKILL
765,SharePoint,LANG_FRAM
766,OneDrive and,LANG_FRAM
767,SharePoint,LANG_FRAM
768,"establishing client’s needs, gathering requirements",H_SKILL
769,Bachelor's degree,REQUIREMENT
770,2.1,LANG_FRAM
771,leadership,S_SKILL
772,collaborate,S_SKILL
773,communication skills,S_SKILL
774,passion,S_SKILL
775,Audit reporting,H_SKILL
776,C,LANG_FRAM
777,solve complex problems,S_SKILL
778,collaborate,S_SKILL
779,proactive,S_SKILL
780,problem,S_SKILL
781,solving,S_SKILL
782,analytical,S_SKILL
783,problem-,S_SKILL
784,solving,S_SKILL
785,communications,S_SKILL
786,communicative with peers,S_SKILL
787,ability to work to tight deadlines,S_SKILL
788,Understand and translate requirements into business and technology solutions,H_SKILL
789,"Analyse,",H_SKILL
790,design and develop best practice business changes,H_SKILL
791,define system/technology requirements,H_SKILL
792,Collaborate,S_SKILL
793,"build, prioritise",S_SKILL
794,leadership,S_SKILL
795,identify,H_SKILL
796,designs and ensure technology solutions represent current,H_SKILL
797,Agile tools and techniques,H_SKILL
798,Provide technology and gap analysis,H_SKILL
799,Provide basic user training,H_SKILL
800,Splunk Admin Cribl,LANG_FRAM
801,Splunk Consultant,LANG_FRAM
802,AWS,LANG_FRAM
803,Azure,LANG_FRAM
804,GCP,LANG_FRAM
805,Elastic,LANG_FRAM
806,solving complex problems,S_SKILL
807,EM modelling skills,H_SKILL
808,form key parts,H_SKILL
809,collaboration,S_SKILL
810,passionate,S_SKILL
811,application software,H_SKILL
812,Bachelor,REQUIREMENT
813,degree,REQUIREMENT
814,analytical,S_SKILL
815,solving,S_SKILL
816,oral and written communication,S_SKILL
817,Experience of pipeline/process simulation,H_SKILL
818,analysis,H_SKILL
819,knowledge of computer networking,H_SKILL
820,interest in pipeline or process simulation,H_SKILL
821,Ensuring Calibration readiness at point of use Monitoring,H_SKILL
822,resolving,H_SKILL
823,developing and supporting implementation of NPI project plans,H_SKILL
824,inspection reports,S_SKILL
825,understanding of CMM operation and programming,H_SKILL
826,IT skills,H_SKILL
827,Ability to interpret complex engineering drawings,H_SKILL
828,Dimensional visualisation,H_SKILL
829,communication skills,S_SKILL
830,contribute in a team environment,S_SKILL
831,Ability to work with complexity,S_SKILL
832,Willingness to learn,S_SKILL
833,work closely with other areas of the business in an efficient manner,S_SKILL
834,problem solving,S_SKILL
835,attention to detail,S_SKILL
836,Sydney,LANG_FRAM
837,Austin,LANG_FRAM
838,portfolio,REQUIREMENT
839,motivated,S_SKILL
840,quantitative ability,S_SKILL
841,Contribute to the development of Aurora's suite of tools,H_SKILL
842,Engage,S_SKILL
843,using tools Support internal teams,H_SKILL
844,degree,REQUIREMENT
845,Python,LANG_FRAM
846,"Matlab,",LANG_FRAM
847,C++,LANG_FRAM
848,Julia Evidence,LANG_FRAM
849,communication,S_SKILL
850,adapt your communication,S_SKILL
851,C1,S_SKILL
852,understanding of the fundamentals,H_SKILL
853,power,H_SKILL
854,data analytics,H_SKILL
855,understanding complex system Software development,H_SKILL
856,SQL,LANG_FRAM
857,DAX,LANG_FRAM
858,VBA,LANG_FRAM
859,R,LANG_FRAM
860,PowerQueryM,LANG_FRAM
861,Knowledge of data analytics and visualisation tools,H_SKILL
862,Power BI,LANG_FRAM
863,Tableau,LANG_FRAM
864,"Desktops,",LANG_FRAM
865,Windows/,LANG_FRAM
866,Android,LANG_FRAM
867,Microsoft Intune,LANG_FRAM
868,degree,REQUIREMENT
869,communication,S_SKILL
870,work as part of a team,S_SKILL
871,degree,REQUIREMENT
872,laids,S_SKILL
873,CAD skills,H_SKILL
874,electrical knowledge,H_SKILL
875,advising clients,S_SKILL
876,Bachelor’s,REQUIREMENT
877,Master’s degree,REQUIREMENT
878,understanding of power system theory,H_SKILL
879,understanding of transmission and distribution grids,H_SKILL
880,communicate clearly,S_SKILL
881,creation of clear written reports,S_SKILL
882,Excellent organisation skills,S_SKILL
883,delivering complex tasks to tight deadlines,S_SKILL
884,Interpersonal skills,S_SKILL
885,confidence to seek help from colleagues,S_SKILL
886,IT and Microsoft skills,H_SKILL
887,license,REQUIREMENT
